strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.14428538801631935	0.8930606941656036	0.008382847757326508	0.8698892698404204	0.14088598366190314	0.8586701153611481	0.8074024202062617	0.46757053437539153	0.08669328033808338	0.9089425969944472
G1(-/-)	0.0	0.9623183614414942	0.0	0.8562262001027058	0.05543940594242381	0.8949163059596663	0.8899651891640247	0.5241965487496821	0.07144139091946543	0.944658911446074
G2(-/-)	0.6754384501686292	0.0	0.042471677487264374	0.9015693946891237	0.04525197175169403	0.8673428064095631	0.9650652616058687	0.5389520659854057	0.08921917871428542	0.8711198774500296
G3(-/-)	0.17499342551634967	0.863951828779615	0.0	0.8768902234447133	0.02032670788255024	0.808896259493962	0.8457923224516098	0.42915651931182186	0.04715294141024617	0.8903512116378751
G4(-/-)	0.13075587518212842	0.860881654516045	0.07729530798855436	0.04787864919715554	0.09350105625291326	0.9914335779137003	0.861263768934405	0.4394263024620808	0.04864371796860329	0.814055259350498
G5(-/-)	0.1159511502841525	0.7811694529702453	0.09361713837341468	0.9086100405892125	0.05653232287728003	0.8942115414203543	0.8252019380248761	0.4943947912212834	0.05550952480247004	0.7952421160109339
G6(-/-)	0.1635252472007134	0.9134135923156212	0.034369692556074756	0.863542771722431	0.12062345703206699	0.07869378020869523	1.0	0.44528503057146185	0.16588218846179892	0.865868437162383
G7(-/-)	0.6264902412191377	0.2309563602891933	0.8996789014160106	0.09489458212013009	0.851467003277531	0.8763564892608912	0.0	0.9177875453257945	0.5307437431416472	0.0
G8(-/-)	0.13151296965263323	0.9240730256080139	0.0871978434952559	0.8682986476088652	0.15306044442859823	0.898025280752125	0.9026952207545094	0.0	0.14237282828040582	0.806710677083089
G9(-/-)	0.15764803225340618	0.80280311176087	0.0	0.8726737169527694	0.06858242033726143	0.7813737865974874	0.8850029816552115	0.45762064981626416	0.0	0.8993427362807722
G10(-/-)	0.07498513310104364	0.8716819706946091	0.014180280817274635	0.9224917798319023	0.03189283545141214	0.8952323193700884	0.8802752293006995	0.45140587440549745	0.6063185028714471	0.03628537897423307
