Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0	0.8238470990140883	0.8404333954525073	0.29728129621036004	0.7336072832997582	0.8769843572322507	0.16927588485103567	0.7994324736132796	0.5634998379049205	0.6391953683339706	0.6345133005052873
10.0	0.868907740642981	0.6885413646317388	0.25571163187820034	0.7928230462865661	0.7230549222723885	0.33657843640109664	0.4731261480171001	0.4592575743153211	0.5914023601336005	0.7639780563387677
20.0	0.8196350683648409	0.6465360690320954	0.2744260017187635	0.7372792295534122	0.6319506087467021	0.3753016479581257	0.30178108368410594	0.5145250040832954	0.7551765786025695	0.8738487901889184
30.0	0.7430641631393304	0.6890427169776789	0.19413952055193592	0.7258174016615976	0.5759475136264142	0.4440650389186071	0.19258794783489525	0.4934087161739679	0.7156344261477133	0.8563642428075007
40.0	0.639687304337059	0.5854995886803903	0.18815068937125465	0.580516881876276	0.5620729425574805	0.5947136182781042	0.1770456973663832	0.46324328627785366	0.7176190383303873	0.7663269728083515
50.0	0.6360166975629927	0.531141319261298	0.21130207879642854	0.6402501533318109	0.505153228030459	0.565951764307603	0.17323039703822612	0.39611690152218587	0.8698549255870961	0.8561929433432244
60.0	0.616657268734859	0.534339881186218	0.307218754053307	0.5787920589884156	0.47569345263552987	0.6156391440005052	0.12120230710498466	0.373215196436104	0.8562601734770423	0.872835041990236
70.0	0.6215505545959265	0.45743439447618717	0.2774324768819038	0.5772584249018955	0.5049047647644584	0.641530792045579	0.059235024370999464	0.19407052226377675	0.907139024695523	0.9520621487102037
80.0	0.5928125145227671	0.5113977723730986	0.23874290641653714	0.5718845545005404	0.4837967941356148	0.7324358520321376	0.11422709855742204	0.31426123071624246	0.8862943386005496	0.8582431990293582
90.0	0.5887484540078856	0.5680839436913844	0.2127008092757088	0.5625368226492087	0.45416831296388344	0.7395229635251009	0.08564124678235795	0.27870734454087376	0.8429971388001612	0.8109039354258137
100.0	0.4710237859805062	0.4589324039301507	0.2524764095147584	0.5518909261549589	0.5056304263826177	0.7895393081763046	0.15158671456087824	0.35304899456467365	0.904637503457133	0.8863241509732892
