strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.10592894624038984	0.8777453903990372	0.05418098931134641	0.3867743023378683	0.8013083195124341	0.11829028148135383	0.33999369955846714	0.8944627198171968	0.8701972398347536	0.8986207870194727
G1(-/-)	0.03410486535796003	0.8044370369998611	0.0	0.31070252237223167	0.8089770101728774	0.05116188989588227	0.35999780441660145	0.8931517407213486	0.8850395360772071	0.9089565561501599
G2(-/-)	0.9270827992833629	0.0	0.838367537969305	0.611008858009432	0.7487582314539182	0.46362464313614565	0.1169975065806775	0.9656092077706288	0.8599314025253755	0.9037068128712152
G3(-/-)	0.08894314995827483	0.8641137527923145	0.0	0.24327190213350738	0.9035893358787688	0.006854904480610546	0.4762972521847854	0.874373100955462	0.7877039146623331	0.8825083738268157
G4(-/-)	0.01523204175265562	0.8702987094496446	0.10301019409690779	0.08329835225589813	0.793972297994493	0.16715762202215886	0.423815927812931	0.9207887687650027	0.8255305151203525	0.7985135374203344
G5(-/-)	0.04972009129155911	0.9817421141393823	0.0	0.4322371961780676	0.0	0.046238780463928264	0.38194220914723886	0.8051865911280623	0.9339849760540334	0.9050807411667516
G6(-/-)	0.10255224439387033	0.8379881110773579	0.06943156483072696	0.4403404837303147	0.8808071843682258	0.05843444714946288	0.38452602197646013	0.9684541986931086	0.8624923748423313	0.8655091984316731
G7(-/-)	0.10506157963165738	0.8739767267344953	0.0	0.39425046201484854	0.741994599040592	0.08234255922815845	0.012037496216816086	0.9046753043958923	0.8887402930027186	0.8284834197730905
G8(-/-)	0.01877394107681714	0.797854676246143	0.08564178635615219	0.3645134228118882	0.6860379803773656	0.1035263239744074	0.7285231708740723	0.0022303768168714395	0.8192662248746893	0.8541270866645954
G9(-/-)	0.12498801948018971	0.8603889824521825	0.026032381616983034	0.5317788880282144	0.3217890568670459	0.1493172227150687	0.39680589359415247	0.8734197721708692	0.01682137921374362	0.912725085418273
G10(-/-)	0.1712039251555398	0.8903625931401539	0.048182020556545684	0.35840230323246147	0.8028012940361269	0.13328592949649914	0.7791573915218242	0.9040703018702857	0.7925936516479092	0.0656224018794637
