strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.5298713241513454	0.5174261082177871	0.8181521760874021	0.07702363860668439	0.5149328699812726	0.8493797295160527	0.4462959909578903	0.4662628073081649	0.862243200770658	0.8925627562013988
G1(-/-)	0.010053013451628694	0.8151760339072692	0.8450152997547148	0.37699909739554455	0.24805919515759262	0.8594056469975513	0.47482507066306273	0.4959880309351364	0.6410612049643329	0.8759289176559848
G2(-/-)	0.5104873535033677	0.08224910876344997	0.9427915810101605	0.09200553242525675	0.5017580873526772	0.8976107667030688	0.42699082719101056	0.4613539391108498	0.9157747920925222	0.878407916065712
G3(-/-)	0.7943190919487548	0.5338650267776972	0.0	0.0	0.7142749890327276	0.9190261291135681	0.4625779700979637	0.507088829852619	0.9072520282729403	0.8071221496314265
G4(-/-)	0.5335005197481293	0.47656858193856855	0.8527803058850314	0.0	0.5770548295371993	0.9001929948507224	0.5091448101693142	0.4411793457523416	0.8629703818914526	0.9019711133828078
G5(-/-)	0.5499596965724005	0.4877263190768824	0.945599216574465	0.0	0.0	0.8588543864936038	0.8496375222555977	0.45898812625358254	0.9060149355700209	0.9125003221113904
G6(-/-)	0.4603688134910542	0.501848608265551	0.9173975446654988	0.23930079548267771	0.5225965969799877	0.0	0.5455084186809465	0.43408256560071784	0.7517218612306944	0.9464828024805513
G7(-/-)	0.4271454590764038	0.4929223516182656	0.8846018970544676	0.002402397454440443	0.5209154147333301	0.8763618783450616	0.0	0.8502233842234641	0.8325378766170864	0.9171851894490272
G8(-/-)	0.5139849220124224	0.5444104319352476	0.8596764425960884	0.0	0.5544087757967789	0.8799384515557104	0.4430148820949625	0.031132305429088722	0.9036851348753082	0.8880207543352356
G9(-/-)	0.5339421780475032	0.5373579517592053	0.8962380807600431	0.04949579078798687	0.5799220058762358	0.9458785319278007	0.417966030584487	0.4609688942552318	0.0	0.9195359805947975
G10(-/-)	0.5223074427882262	0.48718529521685966	0.974815194798774	0.013396367357196322	0.5268139575916294	0.8684877787402808	0.818270135352231	0.42061511410509544	0.8510673111728774	0.04081000368939135
