strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.5298713241513454	0.5174261082177871	0.8181521760874021	0.07702363860668439	0.5149328699812726	0.8493797295160527	0.4462959909578903	0.4662628073081649	0.862243200770658	0.8925627562013988
G1(+/-)	0.2695348048008206	0.46251639768043673	0.8745198684960764	0.0	0.5382183532532122	0.9196241388994034	0.4944875717104908	0.46753421990590033	0.9173276601641405	0.8723840462080684
G2(+/-)	0.48036951418420465	0.19752109888962527	0.8816629961175445	0.0	0.4217244330136776	0.8643741917742636	0.43637945363663067	0.47818910656939134	0.8820606708301113	0.8832464656744197
G3(+/-)	0.5584065820291162	0.45381613993809794	0.4186547069694549	0.029002914584068014	0.5924392175063289	0.9209808007069036	0.48501797975648436	0.43377650593092926	0.9281914890871815	0.8700295553952112
G4(+/-)	0.46041179817197037	0.46980890036149536	0.7887920350506471	0.0	0.5392137631957933	0.7923415217353013	0.4051807100991565	0.449303429145562	0.9178877009824703	0.8937209004704874
G5(+/-)	0.5421227138338839	0.4336988680200262	0.8522995299401303	0.037269166605516144	0.31383816215906807	0.8549508431663521	0.42816868441702094	0.45948140276040456	0.8923217602331865	0.8543491448228923
G6(+/-)	0.5033322859866383	0.45974020204024385	0.9257960917613205	0.10799878532652292	0.47289109902268517	0.3990460287066851	0.4659104500589065	0.4816277862372579	0.7574785633211913	0.8541720374981334
G7(+/-)	0.4890918714122524	0.49864056239173943	0.9014859856083504	0.0	0.5688863426280537	0.8699879599382155	0.3200654940875241	0.4635364327034801	0.9024696053589274	0.8212575104731452
G8(+/-)	0.4747177735309367	0.49176051195407466	0.9040172284404204	0.08554002233746226	0.48276093188487496	0.8603654333112994	0.49087809173158214	0.20447028361907907	0.9084464948116493	0.8589281387678462
G9(+/-)	0.5109332385137317	0.5258381729025001	0.8865939835678357	0.015735433181841944	0.5447081891284101	0.9154394584344094	0.4512096514250188	0.44253658671012824	0.4476996918912278	0.9029175365212839
G10(+/-)	0.5203817763528142	0.4057239075320865	0.8670282924611001	0.02768614648610132	0.5768879593166398	0.9411336387652453	0.44844043784997834	0.47592488715976095	0.9146232904547609	0.4272018317216702
