strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.10592894624038984	0.8777453903990372	0.05418098931134641	0.3867743023378683	0.8013083195124341	0.11829028148135383	0.33999369955846714	0.8944627198171968	0.8701972398347536	0.8986207870194727
G1(+/-)	0.013526891073952524	0.8597801180780791	0.03099462181563444	0.3564052566119236	0.7503947743771212	0.0	0.32099599651377325	0.8883851228562991	0.890455820931324	0.9187816114979387
G2(+/-)	0.06217272320136559	0.44319855360344446	0.15841460668074273	0.4934030464987289	0.801514866179703	0.36875923801834926	0.2081269529112882	0.8834288922115984	0.877065295786928	0.9572701717374458
G3(+/-)	0.01089754021718098	0.8964697466525374	0.0020402582769090453	0.30126968930692505	0.9041462227876487	0.02068923657499881	0.43158668202622263	0.8945327199147617	0.8817108259604668	0.9453334636801917
G4(+/-)	0.0763091632240003	0.7834416026048793	0.0	0.1401694985998543	0.7814016736606342	0.14544671313616692	0.3707180241559682	0.9203772694417787	0.8830811763453174	0.9315443203292957
G5(+/-)	0.07938634531729744	0.8921071465452624	0.004956068809224222	0.45813915284249224	0.4501626305731368	0.13398760391504236	0.3286719208047217	0.9317327854085944	0.8615682125706855	0.9118919985174874
G6(+/-)	0.07767352240990347	0.8552397864935046	0.043847908883272245	0.3093903421042934	0.7889759106914651	0.06632052001071133	0.3593375496773408	0.7925561968171666	0.8822122428382188	0.8872317494953759
G7(+/-)	0.04142033886617541	0.8573358838379769	0.09828057251740946	0.34744021548101617	0.9764531322137563	0.10198104780597059	0.13257316416106635	0.8107666380066277	0.8615357954115817	0.7791545507292842
G8(+/-)	0.07892464671236132	0.8061656846439446	0.03953522999125508	0.3014625145765967	0.7782041908801739	0.03858454915476384	0.4150856679469551	0.46886785737075476	0.863568398143755	0.843736053259517
G9(+/-)	0.10089284198911802	0.8610195217149168	0.08604458844155538	0.38528648159935275	0.7407573310178781	0.12523230449315662	0.31113400418953047	0.8319272594750182	0.4925566143537803	0.8024506183212289
G10(+/-)	0.0	0.8550178655235124	0.052998830930712545	0.342147014973628	0.8130415420434032	0.15718195376353147	0.4204694281958766	0.9011436691405562	0.9088575009157944	0.3767035882021883
