"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
0.0	0.12217246760481087	0.21356581657001864	0.616687424745378	0.6493494018697868	0.5754958348908731	0.5780135258151617	0.6296980187440342	0.33985315415225764	0.2856957670687813	0.4840008738269755	0.8392867715792163	0.43828871038408634	0.6199620121987569	0.1044329060716205	0.6252763547588217	0.2292067973509667	0.1741724585941875	0.37651911712291625	0.723668841037611	0.392771042011391	0.15364919233038404	0.7151775841120865	0.43930332287995066	0.11808033820303757	0.14658054744725535	0.5414379173893242	0.8095259535721744	0.04670311627504159	0.3819340614411601	0.6860870008380853	0.8725764909546938	0.46608183267657993	0.02405961161666296	0.3429430234860312	0.5335629296894602	0.8363454325255992	0.601822645812605	0.796642023728577	0.5312853921482702	0.533902381204241	0.5805991596746135	0.2900376541314823	0.01672038716845675	0.07509165488300477	0.5380990857576485	0.7772193920164765	0.582842832326837	0.6072255245753988	0.04602750195578035	0.373644356956501
10.0	0.2145233526872315	0.1737431710074794	0.6688222265534	0.5936960472466644	0.5296495945949947	0.5949843032690947	0.6699375765837075	0.33545184864792865	0.3815274473936463	0.39166606713973867	0.7272333606369514	0.4209858549818721	0.7192303447799544	0.14546922873500748	0.635818658004954	0.3019089266136475	0.24312007005822833	0.4877194254904911	0.6206868665199236	0.3940478755626123	0.18713259171387994	0.6549622725959363	0.5472305877460875	0.24969247011438675	0.28598723169644524	0.6013147856800317	0.7290647303362626	0.09297620800952403	0.5176278052495433	0.5812953462697431	0.8096926601003026	0.5053238988774961	0.033079048714399456	0.41433748675429655	0.48188316619662813	0.7131186188570003	0.45488653161368137	0.6921774301525356	0.5549061488419447	0.5576490594149642	0.5102874773852334	0.2771494077320711	0.0057717893264149925	0.16522742616183733	0.5612343677021026	0.8089931281443058	0.6524821372653861	0.5502244895275065	0.0701676079286149	0.4204800915449179
20.0	0.1570893480585996	0.2761545036886763	0.6567459366801668	0.6589936957594149	0.4309239766545036	0.682536826999659	0.45192517119920367	0.2915977753521335	0.36973216832600103	0.26094147947092494	0.9034275745516782	0.38089827792937087	0.8288599058389995	0.2630428183933563	0.6402986989975717	0.2613727410966323	0.33862393818977016	0.43733743411052767	0.5819378850893947	0.5447545218007739	0.3105226104257585	0.5231498610439429	0.586944798589469	0.3452811282771461	0.17753959476583275	0.5506444842915454	0.7717133304069496	0.2972486826531826	0.4423313530559829	0.554301657295984	0.8158882235246523	0.45756235403913065	0.038636779385526863	0.3565971837437961	0.536943177563497	0.6846087772446382	0.4256994905361993	0.6947933985802698	0.6253569594342847	0.5968221076838044	0.5407043434628468	0.26648422654224757	0.09407051199824448	0.11520627599181774	0.44840209606719356	0.8006847775227226	0.7036413062316621	0.5204220523544933	0.10905229390996882	0.5938944263643828
30.0	0.22363482479401178	0.23074256644807387	0.5854253733933571	0.6987963827717782	0.2796706114676262	0.7360094051135312	0.5214258374920909	0.34890541843526374	0.44202194194032013	0.23351329398933032	0.8053702333000943	0.258920942684378	0.6876625898966295	0.2626974727371529	0.5324565750926543	0.3269820388168771	0.502428611913282	0.39522262952461623	0.608584648061576	0.5102550522642676	0.3071174182948015	0.4626511679884815	0.6156074970472828	0.3339171934020573	0.1761741642115523	0.5642855778671176	0.7706025881175064	0.3365229287137262	0.6237397375412389	0.5086261083989535	0.8228086845867112	0.4173945306428916	0.12312377595306086	0.3707561571066968	0.5649175294807536	0.5128966640467453	0.3115329822089501	0.6219648881161349	0.7571719897575788	0.6679108562041737	0.4821956345377366	0.3102153306152666	0.036226170883811123	0.12711237326859184	0.3679904210134679	0.8488127982702177	0.7863903638651989	0.5133368327702159	0.1442140812716515	0.7134424512108679
40.0	0.25847477467901186	0.28473343507694254	0.5596821881312045	0.7910445029836108	0.2831108341406562	0.7302404037007959	0.5044410475295584	0.3777651256824078	0.4685853333269289	0.1766478076718346	0.7960884320774335	0.2968813947208728	0.7233550907089646	0.3570292825280402	0.5503194990339967	0.29400487986399115	0.4944682982405273	0.4573864797620024	0.5448482654408726	0.43892993080914877	0.4342384408260621	0.46632759284116865	0.6072114648631726	0.40633702154502754	0.2549065296590985	0.6126779276708645	0.8477393276454939	0.29352664022256875	0.5948928358737863	0.5828182243756698	0.6793105994504463	0.46177509172701	0.0424285451892215	0.39019953793135703	0.535726949963143	0.446325217493849	0.25945404597947047	0.5496254048833086	0.7251448647204412	0.7327765252768771	0.4106337332769353	0.21971171967474923	0.16454090736505328	0.18193262479576675	0.3420048399445274	0.7491089506682849	0.8808791135401707	0.5117962373292423	0.18054056841844104	0.7364498331512067
50.0	0.2945323795234921	0.3450155566486241	0.49910167526786997	0.8184839794319344	0.17864685326839574	0.7846171196004442	0.485116460581353	0.3529516538406922	0.492127796666748	0.16919070658599403	0.9124398856250638	0.32964938433602115	0.7691581512207762	0.4687570121034279	0.5226001095921617	0.43102486513539817	0.5676269962707473	0.507718248596131	0.5057892106025035	0.44310377655301975	0.41357573917895585	0.383276554343462	0.6748431243868962	0.44844973510030606	0.2062220532839944	0.501244040470699	0.798946417864928	0.3353936940625998	0.7601814672891591	0.5885698894899343	0.6951170399658578	0.35559639318327996	0.033165976364916055	0.33516950313098676	0.5250341932193828	0.49873734912524004	0.24449408395488065	0.4939723057296473	0.7498522350776862	0.7139627807785436	0.3681350062694632	0.29383472852074033	0.15295769856713443	0.16464688746594888	0.2659151893628104	0.834418133572092	0.7622478099115879	0.47548323325130915	0.1302395685866122	0.6789806831593105
60.0	0.14639456564421896	0.40105911988173026	0.45435373465239093	0.7144140679519284	0.12201333129935883	0.8128863758886287	0.40810361462758576	0.4064650901611536	0.4538369145986774	0.12549430400353925	0.863536803307639	0.30016950351359895	0.8759128657221521	0.38182873084857	0.6022309173607099	0.4179756124609602	0.5695561044169027	0.37457544512998964	0.5866235749468666	0.43984029145538217	0.47759981402592744	0.4503196019434778	0.7241602545608994	0.4234584344089212	0.16908046193940832	0.5698653342344995	0.732872729623341	0.3994346001728669	0.7121877222691304	0.6032666772662595	0.7356486146947238	0.440286227379773	0.05067982889164314	0.4685019969927599	0.5489995453246382	0.31782295856503645	0.10371978980296642	0.464092095929872	0.7720172396651429	0.7235794867877429	0.4971272874761737	0.2618663858242057	0.14374026591249542	0.1705131072567355	0.27797311328102486	0.7426340549176227	0.8216948810937956	0.42535011595127964	0.17425131574083427	0.8206842444195478
70.0	0.2897647630969692	0.43520969078289823	0.5632896906873874	0.7771713729277256	0.11002442109407025	0.6702544522184362	0.43855153806153396	0.2671323285138699	0.4378875613271868	0.08220922535513006	0.7606050891944822	0.26270446291037364	0.7447139974892232	0.4337206721423593	0.5681512648772261	0.32879350043460703	0.6514673206507705	0.39321249066002695	0.529921208734815	0.3834843265487847	0.45828008543488963	0.30892583163059034	0.6988070705168463	0.4912293389923759	0.1671404781523881	0.5075794469337102	0.793004624144424	0.4076797489997533	0.7448598153039298	0.5039072444608059	0.7069321111830593	0.4720358043224684	0.0	0.40869120907229467	0.513685660096878	0.317280040456143	0.07344871576704426	0.4301475857723434	0.8500278968997438	0.7408963666410304	0.4299500878821172	0.204207292407122	0.1671360113600162	0.20863276318794674	0.2904055515117686	0.8203108849048776	0.8536949867783598	0.4932473173917368	0.17331294804559066	0.7966466403933891
80.0	0.2705695231412585	0.38212101011200567	0.5651718646981182	0.7511172337568462	0.11432806678972483	0.7754253408970013	0.3640146837170784	0.364646991129442	0.528191807861445	0.051041767384841764	0.8207890286702989	0.21950483475103452	0.8699157937247526	0.42827269677575874	0.5355651551316284	0.4357668934232867	0.7546354149062999	0.450315838500096	0.5058958275688883	0.3931569048024805	0.4520871055511438	0.4851152960329258	0.7180125626699508	0.48176383912820553	0.07275879138579894	0.5462846887977431	0.6767479593659008	0.3785815170473691	0.7826859399319673	0.5140538844607156	0.7549458451716433	0.4291241691932128	0.08842034519841008	0.4089254908937061	0.4602420949361994	0.33902688984531676	0.08497094821375709	0.5289237277221902	0.8821586444886006	0.6927266250381475	0.31516992805820004	0.18129348568723255	0.1908751893462736	0.2983620126842876	0.30328439429716675	0.8453286498978471	0.8442569796530726	0.489258323228053	0.27515701603725484	0.7047362827786948
90.0	0.2874541880854003	0.3204968621169127	0.421784615503869	0.8307570290460154	0.05729872022818856	0.8115288366639448	0.48075590610447955	0.3556310751824608	0.4608308289108624	0.0	0.9149792713839514	0.18077796203367227	0.7305709438992289	0.44345523331451314	0.4475061119728354	0.36675127539284574	0.7490309087263125	0.40782900059665583	0.44164921827005904	0.4316585962576784	0.4734428116580194	0.3617690683226385	0.6161320253912856	0.5149871350006204	0.2125848382753899	0.5504662377703886	0.718797116700815	0.434503027252109	0.8020010302239949	0.5490711072836116	0.7204518921388223	0.4869875410235532	0.034479486535984795	0.37993171979689505	0.5119563488485834	0.16776015996306134	0.07001457280963026	0.49788846524924446	0.7710574774714898	0.8049791189733025	0.43658353930130817	0.23720436858560703	0.21258524537370072	0.1324293921681657	0.2107426243544032	0.850719591526359	0.880223955147719	0.4545483716815292	0.16007093051648139	0.7802546203384638
